id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario,Sentiment,Subjectivity,tweet_effectiveness,Donation
1466118661194850306,"30 Days of Giving 2021, day 6: Students at sunyoswego take on the initiative of keeping LakeOntario clean and inviting for people and wildlife. SUNYGives:  https://t.co/lkHNoBuiZx",7.0,0.0,7.0,2021-12-01 18:55:02,29269.0,855.0,30979.0,New York,Clean,1.0,0.3666666666666667,0.7000000000000001,1.5586495113241101,0
1465380359143661577,I have dogs.  Two BIG Bernese mountain dogs.  And three cats!  Dogs can STINK!  Grace in particular gets a nice sour smell in the summer after swimming in Lake Ontario.  It isn't known to be the https://t.co/5bfrlOlf2z pets cleanhouse,1.0,0.0,1.0,2021-11-29 18:01:17,420.0,782.0,1984.0,"Toronto, Ontario",Clean,1.0,0.15416666666666665,0.38333333333333336,0.3032562134875635,0
1465102448255770633,"RT NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0.0,3.0,6.0,2021-11-28 23:36:58,3226.0,884.0,4994.0,"Oakville, ON, Canada",Clean,1.0,0.3666666666666667,0.7000000000000001,1.6223018755912542,0
1465044133282725893,"RT NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0.0,3.0,6.0,2021-11-28 19:45:15,7916.0,558.0,9032.0,"Oakville, Ontario, Canada",Clean,1.0,0.3666666666666667,0.7000000000000001,1.5167663623232304,0
1464997890791809030,"If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the lake when people just throw the trash anywhere?
Oakvillegreen JanieFF MayorRobBurton henhere ConservHalton 
OakvilleNews
https://t.co/tacmpi6qQr",2.0,3.0,8.0,2021-11-28 16:41:30,7916.0,558.0,9032.0,"Oakville, Ontario, Canada",Clean,1.0,0.3666666666666667,0.7000000000000001,2.0223551497643073,0
1463409033507975168,"SharonM28627721 A Canadians’ perception of canada will be different depending on where you live, but we as people cannot move past this discussion without clean air to breathe or clean water to drink. my mom was able to swim in lake ontario when she was a child- before there was blue algae.",0.0,0.0,0.0,2021-11-24 07:27:57,296.0,401.0,1098.0,"⚒ ham, ont 🏹",Clean,1.0,0.15995670995670994,0.4964285714285715,0.0,0
1466163972944633858,"Hubble_BTerrier We have them down the street at Lake Ontario and ours are very bold. One snatched a dog out of his yard last week. On our walks, Mum always keeps an eye out for garbage cans in case she has to stow us and sit on top! Snacks on a rope, she says! notnicemum",4.0,0.0,4.0,2021-12-01 21:55:05,953.0,638.0,2229.0,"Toronto, Ontario",garbage,1.0,0.2647569444444444,0.4305555555555556,1.1947038532743537,0
1466090125016936449,Future Environment Designs (FEDTC) wins the 8th Annual Pro/Am PACNY Fishing Tournament on Lake Ontario https://t.co/I9QaATWuZk,0.0,0.0,0.0,2021-12-01 17:01:39,1102.0,2077.0,5256.0,"Syosset, New York",environment,1.0,0.15,0.1625,0.0,0
1464681922928562178,"RT WeatherManRed1: Winter Weather Travel advisory, 5-10 cm possible, Environment Canada stated possible lake enhancement and higher amount…",0.0,2.0,4.0,2021-11-27 19:45:57,783.0,773.0,2329.0,"Dundas, Ontario",environment,1.0,0.08333333333333333,0.8333333333333334,1.187941389235121,0
1464674652131889152,"Winter Weather Travel advisory, 5-10 cm possible, Environment Canada stated possible lake enhancement and higher amounts due to easterly winds off lake ontario! IWeatherON Can't wait to see your snow forcast! Go winter! onstorm",5.0,2.0,9.0,2021-11-27 19:17:04,37.0,10.0,57.0,,environment,1.0,0.00146484375,0.71875,5.125650026210463,0
1464405462615478274,ReplicatorUnit ChickeninBlack TeresaM19445404 TTChelps I suspect Toronto's proximity to Lake Ontario contributes to both the temperature shift and supply of moisture (or lack of ability for the environment to shed much extra here).,3.0,0.0,3.0,2021-11-27 01:27:24,2135.0,4720.0,11575.0,,environment,1.0,0.0,0.1,0.7382759927237665,0
1466251670073925640,"Doing work (volunteer or paid) that helps others, paid work that covers bills + a little more, &amp; a respectful work environment may help work be sustainable &amp; fulfilling.",0.0,0.0,0.0,2021-12-02 03:43:34,742.0,2.0,746.0,,volunteer+litter+Ontario,0.0,0.2708333333333333,0.5666666666666667,0.0,0
1466247568417955844,"RT PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in Chilliwack with 615.6 millimetr…",0.0,5.0,10.0,2021-12-02 03:27:16,31599.0,2294.0,36187.0,"Chilliwack, BC",volunteer+litter+Ontario,0.0,-0.125,0.15833333333333333,2.1936787661421753,0
1466234842656378881,"RT PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in Chilliwack with 615.6 millimetr…",0.0,5.0,10.0,2021-12-02 02:36:42,6842.0,3936.0,14714.0,Burnaby BC,volunteer+litter+Ontario,0.0,-0.125,0.15833333333333333,2.3993872435030728,0
1466230528022138883,"BenAmesy timosh99 The problem with most shelters is they are packed, uncomfortable and dangerous. Not everyone is suited to surviving in that environment. All the city departments and volunteer groups could manage it, if they can put their own differences aside.",0.0,0.0,0.0,2021-12-02 02:19:33,96.0,275.0,646.0,"Hamilton, Ontario",volunteer+litter+Ontario,0.0,0.0,0.85,0.0,0
1466226234375901185,"RT Amandeep1518: ""create good memories today so that u can have a good past""
Millions of volunteer of derasachasauda do plantation,blood…",0.0,2.0,4.0,2021-12-02 02:02:30,432.0,463.0,1358.0,,volunteer+litter+Ontario,0.0,0.3833333333333333,0.4833333333333334,1.2767724133322282,0
